"docente","CD-EVALSILABO1","CD-EVALFIN2","CD-EVALINI3","CD-EVENTOSREAL4","CD-AVANCESILABO5","CD-CONTSILAB6","CD-RESPONDE7","CD-PRACTICAS8","EM-RETO1","EM-IDEA2","EM-PART3"
"DC1",4,4,4,4,4,4,4,4,4,4,4
"DC2",3.38461538461538,3.57692307692308,3.26923076923077,3.61538461538462,3.53846153846154,3.69230769230769,3.57692307692308,3.73076923076923,3.30769230769231,3.03846153846154,3.38461538461538
"DC3",3,4,4,4,3,4,4,4,4,4,4
"DC4",2.3125,3.25,2.125,3,2.375,3.125,2.875,1.6875,2.375,2.0625,2.375
"DC5",2.8,3.2,2.8,3.4,3.6,3.6,3.6,3.8,3.4,3.2,3.2
"DC6",2.34285714285714,2.94285714285714,1.77142857142857,3,2.65714285714286,2.82857142857143,2.65714285714286,1.65714285714286,2.25714285714286,2.34285714285714,2.6
"DC7",3.84615384615385,3.76923076923077,3.76923076923077,3.76923076923077,3.84615384615385,4,4,3.84615384615385,3.84615384615385,3.92307692307692,4
"DC8",4,4,4,4,4,4,4,4,4,4,4
"DC9",3.5,3,2.5,3.5,3,3.5,4,4,3.5,3,3
"DC10",2.8,3,3.7,3.6,3,3.3,3.4,2.9,3.3,3.4,3.6
"DC11",3,3.25,2.875,3.5,3.375,3.5,3.375,3.625,3.375,3.375,3.25
"DC12",3,3.5,3,3.66666666666667,3.83333333333333,3.83333333333333,3.83333333333333,3.66666666666667,3.66666666666667,3.66666666666667,3.83333333333333
"DC13",3.66666666666667,4,3,4,3.66666666666667,3.66666666666667,4,3.33333333333333,4,3.66666666666667,4
"DC14",2.91666666666667,2.91666666666667,2.33333333333333,2.91666666666667,2.66666666666667,2.91666666666667,3,3.58333333333333,2.91666666666667,2.83333333333333,3
"DC15",3.4,3.2,2.8,3,2.8,3.2,3.6,4,3.2,2.8,2.8
"DC16",2,2,3,2,3,2,3,3,3,3,3
"DC17",3.4,3.6,3.4,3.2,4,4,3.6,2.8,3.8,3.4,3
"DC18",3.38461538461538,3.38461538461538,2.92307692307692,3.07692307692308,3.46153846153846,3.23076923076923,3.23076923076923,2.53846153846154,2.92307692307692,2.92307692307692,3.38461538461538
"DC19",3.5,3.4,3.3,3.8,3.5,3.7,3.7,3.7,3.5,3.7,3.7
"DC20",3.29411764705882,3.47058823529412,2.94117647058824,3.70588235294118,3.58823529411765,3.70588235294118,3.82352941176471,3.23529411764706,3.52941176470588,3.52941176470588,3.76470588235294
"DC21",2.63636363636364,3,2.72727272727273,3.45454545454545,3,3.18181818181818,3.63636363636364,3.18181818181818,3.27272727272727,3.36363636363636,3.45454545454545
"DC22",2.7,2.4,2.4,3.4,2.2,2.8,3.6,2.6,3.4,3.5,3.4
"DC23",3.8,3.4,3.4,3.6,3.6,3.8,3.8,3.8,3.6,3.8,3.6
"DC24",3,3,1.5,3.5,3.5,3.5,3.5,2,2.5,3,3
"DC25",4,4,1,3,4,3,3,4,4,1,4
"DC26",3.25,4,3.5,3.75,4,4,3.75,3.25,3.5,3.25,3.5
